console,company,game,userscore
PC,PC,Wild West Online,0.2
XONE,Microsoft,Ghostbusters,0.4
XBOX,Microsoft,Charlie and the Chocolate Factory,0.4
PS3,Sony,Power Gig: Rise of the SixString,0.5
WII,Nintendo,Pool Party,0.5
XBOX,Microsoft,Wallace & Gromit: Curse of the Were-Rabbit,0.7
PSP,Sony,Thrillville: Off the Rails,0.8
PS3,Sony,NBA Unrivaled,0.9
XONE,Microsoft,Star Wars Battlefront II,0.9
PSP,Sony,Dragon Ball: Evolution,0.9
