console,company,game,userscore
PS,Sony,Final Fantasy Chronicles,9.4
GC,Nintendo,Resident Evil,9.3
GBA,Nintendo,Final Fantasy VI Advance,9.3
PS4,Sony,Bloodborne: The Old Hunters,9.3
PC,PC,The Witcher 3: Wild Hunt,9.3
GC,Nintendo,Resident Evil 4,9.3
PS,Sony,The Legend of Dragoon,9.3
PC,PC,Deus Ex,9.2
PS,Sony,Final Fantasy IX,9.2
GC,Nintendo,Metroid Prime,9.2
