console,company,game,metascore
X360,Microsoft,Grand Theft Auto IV,98
PS,Sony,Tony Hawk's Pro Skater 2,98
XONE,Microsoft,Red Dead Redemption 2,98
PS3,Sony,Grand Theft Auto IV,98
PS3,Sony,Grand Theft Auto V,97
Switch,Nintendo,The Legend of Zelda: Breath of the Wild,97
DC,Sega,NFL 2K1,97
PS2,Sony,Tony Hawk's Pro Skater 3,97
X360,Microsoft,Grand Theft Auto V,97
WII,Nintendo,Super Mario Galaxy 2,97
