console,company,game,userscore,fecha,ano,mes
PC,PC,The Sims,7.9,2000-01-31,2000,1
PC,PC,Airfix Dogfighter,8.1,2000-01-14,2000,1
PC,PC,Crime Cities,7.0,2000-01-31,2000,1
PC,PC,X: Beyond the Frontier,7.4,2000-01-26,2000,1
PS,Sony,Parasite Eve II,9.0,2000-01-12,2000,1
PC,PC,Thief II: The Metal Age,9.0,2000-02-29,2000,2
N64,Nintendo,Ridge Racer 64,8.2,2000-02-14,2000,2
PS,Sony,Need for Speed: Porsche Unleashed,8.2,2000-02-29,2000,2
PS,Sony,Army Men: World War,7.1,2000-02-29,2000,2
PC,PC,EverQuest: The Ruins of Kunark,8.5,2000-03-31,2000,3
PC,PC,Allegiance,7.7,2000-03-31,2000,3
PC,PC,StarLancer,7.4,2000-03-31,2000,3
PC,PC,Traitor's Gate,6.8,2000-04-30,2000,4
N64,Nintendo,Excitebike 64,8.0,2000-04-30,2000,4
PC,PC,Ground Control,7.6,2000-05-31,2000,5
PC,PC,MDK2,7.9,2000-05-31,2000,5
PC,PC,SimCity 3000 Unlimited,8.6,2000-05-16,2000,5
N64,Nintendo,Perfect Dark,8.9,2000-05-22,2000,5
DC,Sega,Bust-A-Move 4,8.5,2000-05-31,2000,5
PS,Sony,Vagrant Story,9.0,2000-05-15,2000,5
PC,PC,Deus Ex,9.2,2000-06-23,2000,6
PC,PC,Descent 3,8.1,2000-06-14,2000,6
PC,PC,Diablo II,8.8,2000-06-29,2000,6
PC,PC,Icewind Dale,8.3,2000-06-29,2000,6
PC,PC,Shogun: Total War,8.7,2000-06-13,2000,6
PC,PC,Dark Reign 2,7.3,2000-06-30,2000,6
PC,PC,BreakNeck 2000,6.7,2000-06-21,2000,6
PC,PC,Star Trek: Klingon Academy,7.2,2000-06-21,2000,6
PC,PC,Vampire: The Masquerade - Redemption,8.3,2000-06-07,2000,6
PC,PC,Dracula: The Resurrection,6.7,2000-06-14,2000,6
PC,PC,BeachHead 2000,7.0,2000-06-14,2000,6
N64,Nintendo,Starcraft 64,8.2,2000-06-13,2000,6
N64,Nintendo,Kirby 64: The Crystal Shards,8.2,2000-06-26,2000,6
DC,Sega,Marvel vs. Capcom 2,8.8,2000-06-29,2000,6
DC,Sega,Street Fighter III: Double Impact,8.2,2000-06-19,2000,6
DC,Sega,Railroad Tycoon II: Gold Edition,8.8,2000-06-30,2000,6
DC,Sega,Toy Story 2: Buzz Lightyear to the Rescue!,6.6,2000-06-30,2000,6
PS,Sony,Star Trek: Invasion,7.5,2000-06-29,2000,6
PS,Sony,The Legend of Dragoon,9.3,2000-06-11,2000,6
PS,Sony,Mortal Kombat: Special Forces,2.1,2000-06-30,2000,6
PC,PC,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,7.9,2000-07-31,2000,7
PC,PC,Warlords Battlecry,7.6,2000-07-09,2000,7
PC,PC,Cleopatra: Queen of the Nile,7.5,2000-07-11,2000,7
PC,PC,F1 World Grand Prix,6.9,2000-07-01,2000,7
PC,PC,KISS: Psycho Circus - The Nightmare Child,7.3,2000-07-18,2000,7
PC,PC,Soulbringer,7.6,2000-07-10,2000,7
PC,PC,Metal Fatigue,8.8,2000-07-31,2000,7
N64,Nintendo,Army Men: Air Combat,7.8,2000-07-14,2000,7
N64,Nintendo,Fighter Destiny 2,6.6,2000-07-14,2000,7
DC,Sega,Test Drive V-Rally,8.7,2000-07-02,2000,7
DC,Sega,Fur Fighters,8.5,2000-07-11,2000,7
DC,Sega,World Series Baseball 2K1,7.2,2000-07-17,2000,7
PS,Sony,X-Men: Mutant Academy,7.7,2000-07-11,2000,7
PS,Sony,Strider 2,8.3,2000-07-29,2000,7
PS,Sony,Ball Breakers,5.3,2000-07-26,2000,7
PC,PC,Age of Empires II: The Conquerors Expansion,9.0,2000-08-24,2000,8
PC,PC,Grand Prix 3,7.6,2000-08-24,2000,8
PC,PC,The Sims: Livin' Large,7.0,2000-08-27,2000,8
PC,PC,Heavy Metal: F.A.K.K. 2,7.6,2000-08-06,2000,8
PC,PC,Madden NFL 2001,5.8,2000-08-24,2000,8
PC,PC,Microsoft Golf 2001 Edition,7.0,2000-08-24,2000,8
PC,PC,Submarine Titans,7.5,2000-08-09,2000,8
PC,PC,Sydney 2000,4.9,2000-08-25,2000,8
N64,Nintendo,Mario Tennis,8.9,2000-08-28,2000,8
N64,Nintendo,Turok 3: Shadow of Oblivion,7.1,2000-08-30,2000,8
DC,Sega,Ultimate Fighting Championship,7.8,2000-08-29,2000,8
DC,Sega,Power Stone 2,8.9,2000-08-23,2000,8
DC,Sega,Sega GT,7.5,2000-08-29,2000,8
DC,Sega,Seaman,8.4,2000-08-09,2000,8
DC,Sega,Sega Marine Fishing,8.5,2000-08-20,2000,8
DC,Sega,AeroWings 2: Air Strike,7.7,2000-08-27,2000,8
DC,Sega,Deep Fighter: The Tsunami Offense,7.0,2000-08-22,2000,8
DC,Sega,D2,8.0,2000-08-22,2000,8
DC,Sega,WWF Royal Rumble,5.9,2000-08-01,2000,8
PS,Sony,Chrono Cross,8.8,2000-08-15,2000,8
PS,Sony,Madden NFL 2001,6.8,2000-08-22,2000,8
PS,Sony,Spider-Man,8.8,2000-08-30,2000,8
PS,Sony,Valkyrie Profile,8.8,2000-08-29,2000,8
PS,Sony,Tenchu 2: Birth of the Stealth Assassins,8.7,2000-08-07,2000,8
PS,Sony,ECW Anarchy Rulz,6.3,2000-08-18,2000,8
PS,Sony,Resident Evil: Survivor,6.5,2000-08-30,2000,8
PC,PC,Baldur's Gate II: Shadows of Amn,9.2,2000-09-24,2000,9
PC,PC,NHL 2001,6.9,2000-09-28,2000,9
PC,PC,Homeworld: Cataclysm,8.8,2000-09-07,2000,9
PC,PC,Steel Beasts,7.9,2000-09-24,2000,9
PC,PC,Star Trek: Voyager Elite Force,7.9,2000-09-20,2000,9
PC,PC,Crimson Skies,8.0,2000-09-17,2000,9
PC,PC,Metal Gear Solid,8.9,2000-09-24,2000,9
PC,PC,NASCAR Heat,7.7,2000-09-27,2000,9
PC,PC,RollerCoaster Tycoon: Loopy Landscapes,8.9,2000-09-30,2000,9
PC,PC,Midtown Madness 2,8.7,2000-09-21,2000,9
PC,PC,Sanity: Aiken's Artifact,7.7,2000-09-26,2000,9
PC,PC,Panzer General III: Scorched Earth,7.4,2000-09-28,2000,9
PC,PC,Wizards & Warriors,7.4,2000-09-27,2000,9
PC,PC,Heroes Chronicles: Warlords of the Wasteland,7.5,2000-09-27,2000,9
PC,PC,Heroes Chronicles: Conquest of the Underworld,6.4,2000-09-27,2000,9
PC,PC,Tom Clancy's Rainbow Six: Covert Ops Essentials,7.0,2000-09-28,2000,9
PC,PC,Star Trek: New Worlds,7.0,2000-09-07,2000,9
PC,PC,Amazons & Aliens,5.2,2000-09-30,2000,9
N64,Nintendo,Pokemon Puzzle League,8.5,2000-09-01,2000,9
N64,Nintendo,Duck Dodgers Starring Daffy Duck,8.4,2000-09-16,2000,9
N64,Nintendo,Army Men: Sarge's Heroes 2,6.8,2000-09-26,2000,9
DC,Sega,NFL 2K1,6.4,2000-09-07,2000,9
DC,Sega,F355 Challenge,8.2,2000-09-19,2000,9
DC,Sega,San Francisco Rush 2049,8.6,2000-09-06,2000,9
DC,Sega,Ecco the Dolphin: Defender of the Future,8.1,2000-09-10,2000,9
DC,Sega,Tokyo Xtreme Racer 2,8.6,2000-09-01,2000,9
DC,Sega,NFL Blitz 2001,8.0,2000-09-14,2000,9
PS,Sony,Tony Hawk's Pro Skater 2,7.4,2000-09-20,2000,9
PS,Sony,NHL 2001,8.0,2000-09-26,2000,9
PS,Sony,Dino Crisis 2,9.1,2000-09-29,2000,9
PS,Sony,Dave Mirra Freestyle BMX,7.6,2000-09-26,2000,9
PS,Sony,Army Men: Air Attack 2,5.8,2000-09-26,2000,9
PS,Sony,NASCAR 2001,6.1,2000-09-19,2000,9
PS,Sony,Destruction Derby Raw,6.6,2000-09-26,2000,9
PS,Sony,RPG Maker,8.4,2000-09-19,2000,9
PS,Sony,Hogs of War,8.8,2000-09-05,2000,9
PS,Sony,Buzz Lightyear of Star Command,5.6,2000-09-26,2000,9
PS,Sony,Danger Girl,5.5,2000-09-06,2000,9
PS,Sony,Duke Nukem: Land of the Babes,6.7,2000-09-19,2000,9
PC,PC,Tony Hawk's Pro Skater 2,8.5,2000-10-25,2000,10
PC,PC,Superbike 2001,6.6,2000-10-09,2000,10
PC,PC,Zeus: Master of Olympus,8.8,2000-10-22,2000,10
PC,PC,Links 2001,6.8,2000-10-24,2000,10
PC,PC,FIFA 2001 Major League Soccer,7.3,2000-10-30,2000,10
PC,PC,Command & Conquer: Red Alert 2,8.9,2000-10-21,2000,10
PC,PC,Combat Flight Simulator 2: WWII Pacific Theater,7.0,2000-10-13,2000,10
PC,PC,SWAT 3: Elite Edition,8.2,2000-10-06,2000,10
PC,PC,Close Combat: Invasion: Normandy,7.6,2000-10-10,2000,10
PC,PC,Dirt Track Racing: Sprint Cars,8.7,2000-10-19,2000,10
PC,PC,You Don't Know Jack: 5th Dementia,6.5,2000-10-31,2000,10
PC,PC,Death Track Racing,6.6,2000-10-10,2000,10
PC,PC,Blair Witch Volume I: Rustin Parr,7.9,2000-10-04,2000,10
PC,PC,4x4 Evolution,6.4,2000-10-29,2000,10
PC,PC,Frogger 2: Swampy's Revenge,7.7,2000-10-01,2000,10
PC,PC,Blair Witch Volume II: The Legend of Coffin Rock,5.0,2000-10-25,2000,10
PS2,Sony,SSX,8.4,2000-10-30,2000,10
PS2,Sony,Madden NFL 2001,7.8,2000-10-23,2000,10
PS2,Sony,DOA2: Hardcore,8.0,2000-10-25,2000,10
PS2,Sony,Tekken Tag Tournament,8.5,2000-10-25,2000,10
PS2,Sony,NHL 2001,8.2,2000-10-25,2000,10
PS2,Sony,TimeSplitters,8.0,2000-10-23,2000,10
PS2,Sony,Smuggler's Run,6.8,2000-10-25,2000,10
PS2,Sony,Midnight Club: Street Racing,7.6,2000-10-25,2000,10
PS2,Sony,Ridge Racer V,7.5,2000-10-25,2000,10
PS2,Sony,Armored Core 2,8.6,2000-10-24,2000,10
PS2,Sony,MotoGP,6.0,2000-10-31,2000,10
PS2,Sony,Unreal Tournament,7.1,2000-10-21,2000,10
PS2,Sony,Ready 2 Rumble Boxing: Round 2,7.3,2000-10-23,2000,10
PS2,Sony,Dynasty Warriors 2,8.8,2000-10-25,2000,10
PS2,Sony,Summoner,8.0,2000-10-25,2000,10
PS2,Sony,ESPN International Track & Field,7.3,2000-10-25,2000,10
PS2,Sony,Fantavision,6.0,2000-10-25,2000,10
PS2,Sony,Street Fighter EX3,7.9,2000-10-24,2000,10
PS2,Sony,Eternal Ring,6.5,2000-10-24,2000,10
PS2,Sony,Evergrace,8.4,2000-10-24,2000,10
PS2,Sony,Orphen: Scion of Sorcery,6.2,2000-10-23,2000,10
PS2,Sony,Surfing H3O,4.0,2000-10-26,2000,10
N64,Nintendo,The Legend of Zelda: Majora's Mask,9.1,2000-10-25,2000,10
N64,Nintendo,Ogre Battle 64,8.9,2000-10-07,2000,10
N64,Nintendo,Cruis'n Exotica,7.3,2000-10-16,2000,10
DC,Sega,Jet Grind Radio,8.0,2000-10-30,2000,10
DC,Sega,Quake III Arena,8.1,2000-10-22,2000,10
DC,Sega,Samba de Amigo,8.5,2000-10-16,2000,10
DC,Sega,Street Fighter III: 3rd Strike,8.5,2000-10-04,2000,10
DC,Sega,Demolition Racer: No Exit,8.5,2000-10-23,2000,10
DC,Sega,Star Wars Episode I: Jedi Power Battles,7.9,2000-10-18,2000,10
DC,Sega,4x4 Evolution,7.4,2000-10-30,2000,10
DC,Sega,Red Dog: Superior Firepower,7.5,2000-10-31,2000,10
DC,Sega,Ready 2 Rumble Boxing: Round 2,7.2,2000-10-23,2000,10
DC,Sega,Silent Scope,8.8,2000-10-23,2000,10
DC,Sega,Spawn: In the Demon's Hand,7.0,2000-10-01,2000,10
DC,Sega,Army Men: Sarge's Heroes,7.3,2000-10-30,2000,10
PS,Sony,Spyro: Year of the Dragon,8.9,2000-10-23,2000,10
PS,Sony,NBA Live 2001,7.7,2000-10-16,2000,10
PS,Sony,Medal of Honor Underground,8.9,2000-10-23,2000,10
PS,Sony,Rollcage Stage II,8.9,2000-10-10,2000,10
PS,Sony,Knockout Kings 2001,8.4,2000-10-30,2000,10
PS,Sony,Jarrett & Labonte Stock Car Racing,7.6,2000-10-03,2000,10
PS,Sony,Mega Man Legends 2,8.5,2000-10-24,2000,10
PS,Sony,Alien Resurrection,7.7,2000-10-10,2000,10
PS,Sony,Dragon Valor,8.3,2000-10-16,2000,10
PC,PC,The Longest Journey,8.8,2000-11-16,2000,11
PC,PC,The Operative: No One Lives Forever,8.8,2000-11-11,2000,11
PC,PC,Sacrifice,8.8,2000-11-05,2000,11
PC,PC,Counter-Strike,9.2,2000-11-08,2000,11
PC,PC,MechWarrior 4: Vengeance,8.1,2000-11-23,2000,11
PC,PC,Escape from Monkey Island,7.7,2000-11-08,2000,11
PC,PC,Virtual Pool 3,7.1,2000-11-14,2000,11
PC,PC,Star Trek: Deep Space Nine: The Fallen,7.6,2000-11-15,2000,11
PC,PC,Chessmaster 8000,6.7,2000-11-14,2000,11
PC,PC,Space Empires IV,8.1,2000-11-07,2000,11
PC,PC,The Devil Inside,6.9,2000-11-09,2000,11
PC,PC,Rune 2000,7.7,2000-11-07,2000,11
PC,PC,Delta Force: Land Warrior,7.7,2000-11-07,2000,11
PC,PC,Sheep,7.4,2000-11-29,2000,11
PC,PC,Hitman: Codename 47,7.5,2000-11-19,2000,11
PC,PC,Motocross Mania,6.8,2000-11-14,2000,11
PC,PC,Call to Power II,7.2,2000-11-17,2000,11
PC,PC,Sea Dogs,8.7,2000-11-24,2000,11
PC,PC,Battle Isle: The Andosia War,7.4,2000-11-29,2000,11
PC,PC,Starship Troopers: Terran Ascendancy,7.7,2000-11-07,2000,11
PC,PC,Real Myst,8.0,2000-11-14,2000,11
PC,PC,Gunman Chronicles,7.1,2000-11-19,2000,11
PC,PC,Jagged Alliance 2: Unfinished Business,7.6,2000-11-30,2000,11
PC,PC,Europa Universalis: Crown of the North,6.8,2000-11-09,2000,11
PC,PC,JetFighter IV: Fortress America,7.5,2000-11-08,2000,11
PC,PC,Tomb Raider: Chronicles,7.2,2000-11-21,2000,11
PC,PC,Blair Witch Volume III: The Elly Kedward Tale,5.2,2000-11-22,2000,11
PC,PC,The Mummy,5.9,2000-11-17,2000,11
PC,PC,Timeline,5.8,2000-11-12,2000,11
PS2,Sony,FIFA 2001,7.4,2000-11-24,2000,11
PS2,Sony,Sky Odyssey,8.4,2000-11-15,2000,11
PS2,Sony,Kessen,8.4,2000-11-13,2000,11
PS2,Sony,NASCAR 2001,6.5,2000-11-06,2000,11
PS2,Sony,Gradius III and IV,7.2,2000-11-13,2000,11
N64,Nintendo,Banjo-Tooie,9.0,2000-11-19,2000,11
N64,Nintendo,WWF No Mercy,8.8,2000-11-17,2000,11
N64,Nintendo,007: The World is Not Enough,7.8,2000-11-01,2000,11
N64,Nintendo,Spider-Man,6.9,2000-11-21,2000,11
N64,Nintendo,Mickey's Speedway USA,7.3,2000-11-13,2000,11
N64,Nintendo,"Hey You, Pikachu!",6.4,2000-11-05,2000,11
N64,Nintendo,Hercules: The Legendary Journeys,7.4,2000-11-16,2000,11
DC,Sega,Tony Hawk's Pro Skater 2,6.2,2000-11-06,2000,11
DC,Sega,Skies of Arcadia,8.9,2000-11-13,2000,11
DC,Sega,Test Drive Le Mans,7.7,2000-11-13,2000,11
DC,Sega,NBA 2K1,7.0,2000-11-01,2000,11
DC,Sega,Looney Tunes: Space Race,8.3,2000-11-27,2000,11
DC,Sega,Capcom vs. SNK,8.6,2000-11-09,2000,11
DC,Sega,Resident Evil 3: Nemesis,9.0,2000-11-17,2000,11
DC,Sega,StarLancer,8.3,2000-11-27,2000,11
DC,Sega,Tom Clancy's Rainbow Six: Rogue Spear,7.5,2000-11-20,2000,11
DC,Sega,Dino Crisis,9.0,2000-11-14,2000,11
DC,Sega,Cannon Spike,8.2,2000-11-14,2000,11
DC,Sega,Ms. Pac-Man Maze Madness,6.4,2000-11-13,2000,11
DC,Sega,Star Wars: Demolition,6.4,2000-11-19,2000,11
DC,Sega,Tomb Raider: Chronicles,8.3,2000-11-19,2000,11
DC,Sega,Sonic Shuffle,7.2,2000-11-13,2000,11
PS,Sony,Final Fantasy IX,9.2,2000-11-13,2000,11
PS,Sony,WWF SmackDown! 2: Know Your Role,8.7,2000-11-21,2000,11
PS,Sony,FIFA 2001 Major League Soccer,7.8,2000-11-14,2000,11
PS,Sony,Breath of Fire IV,8.9,2000-11-28,2000,11
PS,Sony,Incredible Crisis,7.5,2000-11-06,2000,11
PS,Sony,Chicken Run,6.6,2000-11-13,2000,11
PS,Sony,Crash Bash,8.2,2000-11-06,2000,11
PS,Sony,Disney's The Emperor's New Groove,7.6,2000-11-13,2000,11
PS,Sony,Star Wars: Demolition,6.7,2000-11-12,2000,11
PS,Sony,Driver 2,7.8,2000-11-13,2000,11
PS,Sony,007: The World is not Enough,6.8,2000-11-06,2000,11
PS,Sony,007 Racing,4.7,2000-11-20,2000,11
PS,Sony,Blade,8.7,2000-11-23,2000,11
PS,Sony,Army Men: Sarge's Heroes 2,7.0,2000-11-21,2000,11
PS,Sony,HBO Boxing,4.0,2000-11-20,2000,11
PC,PC,Giants: Citizen Kabuto,8.8,2000-12-06,2000,12
PC,PC,American McGee's Alice,8.0,2000-12-06,2000,12
PC,PC,B-17 Flying Fortress: The Mighty 8th,7.5,2000-12-13,2000,12
PC,PC,EverQuest: The Scars of Velious,7.3,2000-12-04,2000,12
PC,PC,Earth 2150,8.2,2000-12-01,2000,12
PC,PC,Ground Control: Dark Conspiracy,6.6,2000-12-14,2000,12
PC,PC,Starfleet Command Volume II: Empires at War,6.8,2000-12-13,2000,12
PC,PC,Dave Mirra Freestyle BMX,7.7,2000-12-14,2000,12
PC,PC,Project IGI: I'm Going In,7.9,2000-12-15,2000,12
PC,PC,F1 Championship Season 2000,7.5,2000-12-06,2000,12
PC,PC,Quake III: Team Arena,7.7,2000-12-18,2000,12
PC,PC,Dino Crisis,8.5,2000-12-04,2000,12
PC,PC,Carmageddon 3: TDR 2000,7.2,2000-12-14,2000,12
PC,PC,Legend of the North: Konung,5.9,2000-12-31,2000,12
PS2,Sony,Theme Park Roller Coaster,7.9,2000-12-04,2000,12
PS2,Sony,Disney's Donald Duck: Goin' Quackers,7.6,2000-12-13,2000,12
PS2,Sony,World Destruction League: Thunder Tanks,5.9,2000-12-20,2000,12
PS2,Sony,Top Gear Dare Devil,6.4,2000-12-11,2000,12
N64,Nintendo,Star Wars: Episode I Battle for Naboo,7.9,2000-12-18,2000,12
N64,Nintendo,Indiana Jones and the Infernal Machine,8.3,2000-12-14,2000,12
DC,Sega,Grandia II,8.6,2000-12-06,2000,12
DC,Sega,Vanishing Point,7.6,2000-12-21,2000,12
DC,Sega,Resident Evil 2,8.9,2000-12-06,2000,12
DC,Sega,Speed Devils Online Racing,8.1,2000-12-13,2000,12
DC,Sega,Disney's Donald Duck: Goin' Quackers,8.4,2000-12-13,2000,12
DC,Sega,Evil Dead: Hail to the King,6.0,2000-12-17,2000,12
PS,Sony,Colin McRae Rally 2.0,8.2,2000-12-05,2000,12
PS,Sony,Lunar 2: Eternal Blue Complete,8.9,2000-12-15,2000,12
PS,Sony,Persona 2: Eternal Punishment,3.1,2000-12-22,2000,12
PS,Sony,Evil Dead: Hail to the King,6.3,2000-12-04,2000,12
PC,PC,SimCoaster,6.7,2001-01-29,2001,1
PC,PC,Oni,8.7,2001-01-28,2001,1
PC,PC,Sudden Strike,7.6,2001-01-23,2001,1
PC,PC,Kingdom Under Fire: A War of Heroes,7.6,2001-01-18,2001,1
PC,PC,Carnivores: Ice Age,7.2,2001-01-15,2001,1
PC,PC,America,7.3,2001-01-14,2001,1
PS2,Sony,Rayman 2 Revolution,8.4,2001-01-30,2001,1
PS2,Sony,Oni,7.5,2001-01-29,2001,1
PS2,Sony,Kengo: Master of Bushido,8.4,2001-01-03,2001,1
PS2,Sony,Driving Emotion Type-S,3.5,2001-01-29,2001,1
PS2,Sony,RC Revenge Pro,7.6,2001-01-16,2001,1
DC,Sega,Phantasy Star Online,8.4,2001-01-29,2001,1
DC,Sega,Metropolis Street Racer,8.8,2001-01-15,2001,1
DC,Sega,The Typing of the Dead,7.8,2001-01-23,2001,1
PS,Sony,Darkstone,8.4,2001-01-28,2001,1
PC,PC,NASCAR Racing 4,7.5,2001-02-06,2001,2
PC,PC,Europa Universalis,7.7,2001-02-02,2001,2
PC,PC,Clive Barker's Undying,8.8,2001-02-21,2001,2
PC,PC,Colin McRae Rally 2.0,8.5,2001-02-13,2001,2
PC,PC,NBA Live 2001,7.2,2001-02-07,2001,2
PC,PC,Blade of Darkness,8.5,2001-02-19,2001,2
PC,PC,Icewind Dale: Heart of Winter,7.7,2001-02-19,2001,2
PC,PC,1nsane,7.6,2001-02-05,2001,2
PC,PC,Dracula: The Last Sanctuary,6.8,2001-02-11,2001,2
PC,PC,Stupid Invaders,7.3,2001-02-21,2001,2
PS2,Sony,Star Wars: Starfighter,8.0,2001-02-19,2001,2
PS2,Sony,ATV Offroad Fury,8.3,2001-02-05,2001,2
PS2,Sony,NHL FaceOff 2001,4.0,2001-02-05,2001,2
N64,Nintendo,Paper Mario,9.1,2001-02-05,2001,2
DC,Sega,Record of Lodoss War,8.0,2001-02-26,2001,2
DC,Sega,KAO the Kangaroo,6.8,2001-02-13,2001,2
PS,Sony,Fear Effect 2: Retro Helix,8.6,2001-02-21,2001,2
PS,Sony,Mega Man X5,8.8,2001-02-01,2001,2
PC,PC,Black & White,7.7,2001-03-26,2001,3
PC,PC,Tribes 2,8.3,2001-03-28,2001,3
PC,PC,Kohan: Immortal Sovereigns,8.8,2001-03-14,2001,3
PC,PC,Serious Sam: The First Encounter,8.4,2001-03-21,2001,3
PC,PC,Fallout Tactics: Brotherhood of Steel,7.7,2001-03-14,2001,3
PC,PC,Waterloo: Napoleon's Last Battle,7.5,2001-03-25,2001,3
PC,PC,Summoner,7.6,2001-03-21,2001,3
PC,PC,High Heat Major League Baseball 2002,7.6,2001-03-14,2001,3
PC,PC,Earth 2150: The Moon Project,7.5,2001-03-11,2001,3
PC,PC,The Sims: House Party,7.7,2001-03-26,2001,3
PC,PC,Fate of the Dragon,6.9,2001-03-14,2001,3
PC,PC,In Cold Blood,7.1,2001-03-25,2001,3
PC,PC,Star Trek Away Team,6.7,2001-03-19,2001,3
PC,PC,Adventure Pinball: Forgotten Island,7.0,2001-03-21,2001,3
PC,PC,Outlive,8.8,2001-03-19,2001,3
PC,PC,Triple Play Baseball,6.8,2001-03-04,2001,3
PC,PC,Star Wars: Battle for Naboo,6.5,2001-03-11,2001,3
PC,PC,Evil Dead: Hail to the King,5.7,2001-03-28,2001,3
PS2,Sony,Onimusha: Warlords,8.3,2001-03-13,2001,3
PS2,Sony,Quake III Revolution,7.3,2001-03-26,2001,3
PS2,Sony,Ring of Red,8.1,2001-03-12,2001,3
PS2,Sony,MDK 2: Armageddon,8.5,2001-03-26,2001,3
PS2,Sony,Shadow of Destiny,8.4,2001-03-05,2001,3
PS2,Sony,Zone of the Enders,7.5,2001-03-26,2001,3
PS2,Sony,All-Star Baseball 2002,7.6,2001-03-12,2001,3
PS2,Sony,High Heat Major League Baseball 2002,7.9,2001-03-26,2001,3
PS2,Sony,Army Men: Air Attack 2,8.0,2001-03-23,2001,3
PS2,Sony,The Bouncer,8.0,2001-03-05,2001,3
PS2,Sony,WinBack: Covert Operations,7.7,2001-03-27,2001,3
PS2,Sony,Army Men: Sarge's Heroes 2,4.6,2001-03-20,2001,3
PS2,Sony,Warriors of Might and Magic,5.4,2001-03-17,2001,3
PS2,Sony,Army Men: Green Rogue,3.8,2001-03-25,2001,3
N64,Nintendo,Conker's Bad Fur Day,9.1,2001-03-04,2001,3
N64,Nintendo,Pokemon Stadium 2,8.4,2001-03-28,2001,3
N64,Nintendo,Aidyn Chronicles: The First Mage,7.8,2001-03-14,2001,3
DC,Sega,Unreal Tournament,8.8,2001-03-13,2001,3
DC,Sega,Bangai-O,8.1,2001-03-21,2001,3
DC,Sega,Daytona USA,8.6,2001-03-12,2001,3
PS,Sony,Triple Play Baseball,8.3,2001-03-12,2001,3
PS,Sony,Toy Story Racer,8.2,2001-03-05,2001,3
PS,Sony,Disney's Aladdin in Nasira's Revenge,6.7,2001-03-15,2001,3
PC,PC,Tropico,8.2,2001-04-05,2001,4
PC,PC,Evil Islands: Curse of the Lost Soul,7.7,2001-04-17,2001,4
PC,PC,Cossacks: European Wars,8.2,2001-04-14,2001,4
PC,PC,Resident Evil 3: Nemesis,8.5,2001-04-16,2001,4
PC,PC,X-COM: Enforcer,6.6,2001-04-18,2001,4
PC,PC,Rune: Halls of Valhalla,7.5,2001-04-26,2001,4
PC,PC,Robot Arena,7.3,2001-04-01,2001,4
PS2,Sony,Rumble Racing,8.4,2001-04-23,2001,4
PS2,Sony,The Adventures of Cookie & Cream,7.3,2001-04-30,2001,4
PS2,Sony,Silpheed: The Lost Planet,7.1,2001-04-23,2001,4
PS2,Sony,Star Wars: Super Bombad Racing,4.9,2001-04-23,2001,4
PS2,Sony,Heroes of Might and Magic: Quest for the Dragon Bone Staff,5.8,2001-04-18,2001,4
N64,Nintendo,Dr. Mario 64,7.9,2001-04-08,2001,4
DC,Sega,Spider-Man,8.0,2001-04-19,2001,4
DC,Sega,Mars Matrix,8.1,2001-04-30,2001,4
DC,Sega,Illbleed,8.4,2001-04-16,2001,4
PS,Sony,Metal Slug X,8.7,2001-04-14,2001,4
PS,Sony,The Simpsons Wrestling,5.5,2001-04-12,2001,4
PS,Sony,KISS Pinball,3.8,2001-04-25,2001,4
PC,PC,Microsoft Train Simulator,8.0,2001-05-31,2001,5
PC,PC,Myst III: Exile,7.9,2001-05-08,2001,5
PC,PC,Echelon,6.8,2001-05-16,2001,5
PC,PC,Star Trek: Voyager Elite Force Expansion Pack,7.5,2001-05-09,2001,5
PC,PC,Pearl Harbor: Defend the Fleet,4.2,2001-05-15,2001,5
PS2,Sony,Red Faction,8.1,2001-05-21,2001,5
PS2,Sony,Dark Cloud,8.1,2001-05-28,2001,5
PS2,Sony,Crazy Taxi,7.8,2001-05-14,2001,5
PS2,Sony,Cool Boarders 2001,7.0,2001-05-21,2001,5
PS2,Sony,MTV Music Generator 2,8.4,2001-05-19,2001,5
PS2,Sony,Tokyo Xtreme Racer Zero,8.8,2001-05-28,2001,5
PS2,Sony,Gauntlet: Dark Legacy,8.3,2001-05-01,2001,5
GBA,Nintendo,Tony Hawk's Pro Skater 2,7.1,2001-05-30,2001,5
N64,Nintendo,Mario Party 3,8.0,2001-05-06,2001,5
DC,Sega,Crazy Taxi 2,8.2,2001-05-28,2001,5
DC,Sega,Project Justice,8.7,2001-05-16,2001,5
DC,Sega,Giga Wing 2,8.2,2001-05-16,2001,5
DC,Sega,Confidential Mission,8.2,2001-05-14,2001,5
DC,Sega,18 Wheeler: American Pro Trucker,7.1,2001-05-22,2001,5
PS,Sony,Dance Dance Revolution,8.8,2001-05-09,2001,5
PS,Sony,Mat Hoffman's Pro BMX,8.8,2001-05-14,2001,5
PS,Sony,Dave Mirra Freestyle BMX: Maximum Remix,8.1,2001-05-21,2001,5
PS,Sony,World's Scariest Police Chases,6.7,2001-05-21,2001,5
PC,PC,Baldur's Gate II: Throne of Bhaal,8.8,2001-06-21,2001,6
PC,PC,Diablo II: Lord of Destruction,9.0,2001-06-27,2001,6
PC,PC,Startopia,8.7,2001-06-19,2001,6
PC,PC,Poseidon,8.1,2001-06-25,2001,6
